BlackAvg,WhiteAvg,HispanicAvg,AvgIncome,Combo,school_id,SQRPRating,SQRPRankingNumber,AccountabilityStatus,AccountabilityStatusNumber,NSAReading3-8,NSAMath3-8
0.63,0.08,0.27,48379.56104,B,610043,Level 1+,1,Good Standing,1,61,48
0.18,0.16,0.61,40791.36376,B,610044,Level 1,2,Good Standing,1,39,33
0.96,0.01,0.02,10721.03676,AB,610047,Level 2,4,Intensive Support,3,21,5
0.97,0.01,0.01,46060.37354,BB,610052,Level 2+,3,Good Standing,1,23,12
0.47,0.04,0.47,28622.40053,A,610053,Level 1,2,Good Standing,1,43,47
0.23,0.12,0.64,33024.92232,B,610054,Level 1,2,Good Standing,1,59,50
0.94,0.02,0.02,23976.84389,AB,610055,Level 2,4,Provisional Support,2,26,11
0.92,0.01,0.04,48391.87404,BB,610056,Level 1+,1,Good Standing,1,79,52
0.35,0.02,0.59,23927.11682,A,610057,Level 2,4,Provisional Support,2,30,16
0.04,0.82,0.06,110558.8604,DW,610059,Level 1+,1,Good Standing,1,96,94
0.89,0.07,0.01,41588.50297,BB,610110,Level 2,4,Provisional Support,2,55,36
0.03,0.5,0.23,66208.27318,C,610062,Level 1+,1,Good Standing,1,79,88
0.3,0.05,0.64,34001.11717,B,610063,Level 1,2,Good Standing,1,26,29
0.96,0.02,0.02,21466.18501,AB,610065,Level 1+,1,Good Standing,1,51,51
0.85,0.02,0.09,30173.08222,BB,610067,Level 2+,3,Good Standing,1,24,19
0.03,0.72,0.14,67746.8074,CW,610070,Level 2+,3,Good Standing,1,57,46
0.18,0.47,0.28,64082.52913,C,610073,Level 1,2,Good Standing,1,89,79
0.1,0.35,0.5,62354.00553,C,610076,Level 2+,3,Good Standing,1,57,56
0.42,0.01,0.57,33377.05534,B,610077,Level 2,4,Provisional Support,2,33,26
0.01,0.85,0.11,93855.85475,CW,610082,Level 1+,1,Good Standing,1,97,96
0.96,0,0.01,56897.72269,BB,610086,Level 2+,3,Good Standing,1,30,29
0.91,0.02,0.06,38523.39765,BB,610002,Level 1,2,Good Standing,1,70,58
0.05,0.2,0.73,43224.73519,BH,610088,Level 1,2,Good Standing,1,50,38
0.01,0.42,0.48,66580.6137,C,610089,Level 1,2,Good Standing,1,68,55
0.98,0,0.01,33533.99192,BB,610091,Level 1+,1,Good Standing,1,63,42
0.85,0.01,0.13,29325.88639,AB,610092,Level 1,2,Good Standing,1,53,50
0.93,0.03,0,46194.7612,BB,610093,Inability to Rate,FALSE,Intensive Support,3,16,8
0.03,0.8,0.06,78953.96377,CW,610094,Level 1,2,Good Standing,1,91,78
0.02,0.03,0.94,39830.06123,BH,610096,Level 1,2,Good Standing,1,61,63
0.01,0.04,0.93,39135.38512,BH,610097,Level 2,4,Provisional Support,2,17,19
0.25,0.02,0.72,32177.87867,BH,610098,Level 1,2,Good Standing,1,57,45
0.01,0.79,0.09,94736.61692,CW,610099,Level 1+,1,Good Standing,1,95,95
0.02,0.3,0.63,52649.76595,B,610074,Level 1,2,Good Standing,1,48,42
0.03,0.29,0.64,41416.11447,B,610541,Level 1+,1,Good Standing,1,63,66
